forecast_lag_min,top_percent,top_percent_label,channel_name,channel_short_name,importance_total,importance_share_total,importance_mag,importance_phase,importance_share_mag,importance_share_phase,importance_total_norm_by_window_feature_count,importance_share_total_norm_by_window_feature_count,importance_mag_norm_by_window_feature_count,importance_phase_norm_by_window_feature_count,importance_share_mag_norm_by_window_feature_count,importance_share_phase_norm_by_window_feature_count,feature_count_total,feature_count_mag,feature_count_phase,unmatched_feature_count,val_css,test_css
15,0.1,10%,p7_flux_ic,p7,0.034707992035210466,0.034707992035210466,0.013547800864549384,0.021160191170661067,0.014655537164834767,0.27995288051564277,0.0016480026668896663,0.10697059831770149,0.0006065195041712979,0.001041483162718368,0.04731326418427603,0.4025989627424313,83,40,43,0,0.7159090909090909,0.8131868131868132
15,0.1,10%,long,long_xray,0.045558976608630175,0.045558976608630175,0.0329753890950175,0.01258358751361268,0.03567162266693018,0.1664829747162671,0.0015776319949507244,0.1024028915824118,0.0010759185557535095,0.0005017134391972142,0.08393006081260904,0.19394390369934103,103,60,43,0,0.7159090909090909,0.8131868131868132
15,0.15,15%,p3_flux_ic,p3,0.8807264008024994,0.8807264008024994,0.8528402039490308,0.027886196853468444,0.925734510361592,0.35414583196506316,0.008629860759291745,0.7502505431593929,0.008358985608140301,0.0002708751511514412,0.8428333902520369,0.17090794505217854,406,292,114,0,0.7303370786516854,0.8131868131868132
15,0.15,15%,p5_flux_ic,p5,0.02605509061235514,0.02605509061235514,0.011432564344172875,0.014622526268182261,0.012409733155547609,0.18570143350445087,0.0007571174325643429,0.06582119698805679,0.00032454307364589505,0.00043257435891844783,0.03272355664512768,0.272931623483183,138,61,77,0,0.7303370786516854,0.8131868131868132
15,0.15,15%,p7_flux_ic,p7,0.03868297644115063,0.03868297644115063,0.01905432165176551,0.019628654789385115,0.020682940418254036,0.2492776737275742,0.0009587880481832695,0.08335374972878098,0.0004520794203484113,0.0005067086278348579,0.045582998748600285,0.31970644023765754,156,71,85,0,0.7303370786516854,0.8131868131868132
15,0.15,15%,long,long_xray,0.05453553214399458,0.05453553214399458,0.03793078086284089,0.01660475128115371,0.04117281606460641,0.21087506080291188,0.0011568722291717363,0.10057451012376996,0.0007821119417291858,0.00037476028744255015,0.0788600543542351,0.23645399122698088,178,97,81,0,0.7303370786516854,0.8131868131868132
15,0.25,25%,p3_flux_ic,p3,0.8739964867425901,0.8739964867425901,0.8438670302451986,0.030129456497391714,0.9322996387844751,0.31763940783014605,0.006329882882631515,0.7952330658477543,0.006117487122570077,0.00021239576006143525,0.88979996577113,0.1958183586727826,559,367,192,0,0.7386363636363636,0.8131868131868132
15,0.25,25%,p5_flux_ic,p5,0.028279237959153183,0.028279237959153183,0.009890819076665898,0.0183884188824873,0.010927322341031439,0.19385966969804394,0.0004225526501354433,0.053085948931428824,0.00014632852783042538,0.00027622412230501783,0.021283758583565508,0.25466494359375696,271,118,153,0,0.7386363636363636,0.8131868131868132
15,0.25,25%,p7_flux_ic,p7,0.04641231982153352,0.04641231982153352,0.01866123905851791,0.02775108076301558,0.020616833944172182,0.29256541222288296,0.00061069302371431,0.07672231770238853,0.00023740355222659116,0.0003732894714877188,0.03453079155096263,0.34415438234460216,295,132,163,0,0.7386363636363636,0.8131868131868132
15,0.25,25%,long,long_xray,0.051311955476722924,0.051311955476722924,0.03272663423882384,0.018585321237899077,0.036156204930321366,0.19593551024892716,0.000596654750420813,0.07495866751842888,0.0003739070705779865,0.00022274767984282648,0.05438548409434183,0.20536231538885832,337,174,163,0,0.7386363636363636,0.8131868131868132
